# 入力読み	許容するakaza出力	理由
# このファイルに記載されたパターンは、evaluate の BAD カウントから除外される。
# 注意: Wikipedia由来の珍語（艦級等）が正解になるケースは accept に入れないこと。
あいしてもいいことはない	愛してもいいことはない	style:無い→ない,良い→いい,事→こと
あきはばらでみていたものと	秋葉原で見ていたものと	style:物→もの
あそぶつもりでしたか？	遊ぶつもりでしたか？	punctuation_style
あたらしいなかまとのであいのきっかけになればいい	新しい仲間との出会いのきっかけになればいい	style:良い→いい
あてはまるもの	当てはまるもの	style:物→もの
あとすこしでいいところまでとうたつする	あと少しでいいところまで到達する	style:良い→いい
あなたのきちはすべてわたしのものです	あなたの基地は全て私のものです	style:物→もの
あなたはいぬはおすき？	あなたは犬はお好き？	punctuation_style
あなたはどうおもうよ？	あなたはどう思うよ？	punctuation_style
あのおかまであなたのとちですか？	あの丘まであなたの土地ですか？	punctuation_style
あらためてなのるほどのこともない	改めて名乗るほどのこともない	style:無い→ない,事→こと
ありえないもの	ありえないもの	style:物→もの
あれもほんらいはほとんどないものらしいです	あれも本来はほとんどないものらしいです	style:無い→ない,物→もの
あんてなたんしがあたらしいものとかわっていなければ	アンテナ端子が新しいものと変わっていなければ	style:物→もの
あんまりこころあたりがない	あんまり心当たりがない	style:無い→ない
いいともおもえない	いいとも思えない	style:良い→いい
いいばしょないですかね	いい場所ないですかね	style:無い→ない,良い→いい
いいほんやく	いい翻訳	style:良い→いい
いえでまでしごとのことはかんがえたくない？	家でまで仕事のことは考えたくない？	punctuation_style
いしょうきせたっていみないって。	衣装着せたって意味ないって。	style:無い→ない
いただいためーるへのへんじはまたつぎに	いただいたメールへの返事はまた次に	style:other
いたるところにけっかんがあります。	至るところに欠陥があります。	style:other
いったことないので、	行ったことないので、	style:無い→ない
いぬようはないですからねえ。	犬用はないですからねえ。	style:無い→ない
いのちにべつじょうはない	命に別状はない	style:無い→ない
いまのところはすべてかいてありますけど、	今のところは全て書いてありますけど、	style:other
いままできいたことないさっきょくかを	今まで聞いたことない作曲家を	style:無い→ない
いままでみたことのないおおきさのものをみた	今まで見たことのない大きさのものを見た	style:物→もの
いらすとがいいところばかりでとてもよかったのがいんしょうてきです	イラストがいいところばかりでとても良かったのが印象的です	style:良かった→よかった
いれかえたほうが	入れ替えたほうが	style:方→ほう
いろいろしこんでおく	いろいろ仕込んでおく	style:色々→いろいろ
いろいろためしたところ、	いろいろ試したところ、	style:色々→いろいろ
いろいろとようきゅうがあるので	いろいろと要求があるので	style:色々→いろいろ
いろんなものをつくっているようです	いろんなものを作っているようです	style:物→もの
いろんはないですよね。	異論はないですよね。	style:無い→ない
うすがたてれびさえもおくばしょがないな	薄型テレビさえも置く場所がないな	style:無い→ない
